Employee ID,Department ID,Hire Date,To Date
500000,d019,1996-08-21,2003-12-06
500001,d011,2010-02-09,2016-05-30
500002,d011,2008-04-06,9999-01-01
500003,d012,2007-09-27,2011-01-02
500004,d018,2020-10-01,9999-01-01
500005,d017,2010-03-08,2018-05-21
500006,d018,1982-11-01,9999-01-01
500007,d011,2004-11-11,9999-01-01
500008,d014,2024-05-24,2024-08-16
500009,d018,2020-12-07,2022-11-23
500010,d013,2015-08-23,9999-01-01
500011,d011,2008-12-12,2018-11-15
500012,d012,2020-03-24,9999-01-01
500013,d010,1984-09-06,1993-10-10
500014,d012,1979-10-12,1985-01-07
500015,d011,2009-01-01,9999-01-01
500016,d014,2020-07-01,2022-11-08
500017,d013,2012-11-25,9999-01-01
500018,d011,2017-04-07,9999-01-01
500019,d018,2008-11-12,9999-01-01
500020,d013,2012-01-14,2020-06-19
500021,d019,1998-12-29,2008-11-29
500022,d014,2012-04-08,2018-12-22
500023,d015,1980-05-09,9999-01-01
500024,d010,2016-12-10,2018-04-27
500025,d019,2021-04-02,2023-01-20
500026,d013,1992-02-09,1995-12-15
500027,d015,2004-01-25,9999-01-01
500028,d019,2023-11-13,9999-01-01
500029,d019,1994-09-08,1999-08-01
500030,d016,1981-02-14,1983-01-11
500031,d013,1998-06-16,9999-01-01
500032,d019,2020-08-04,2022-09-22
500033,d018,1992-02-21,2000-11-02
500034,d016,2023-03-24,2024-01-16
500035,d016,2020-09-29,2022-10-20
500036,d012,2014-02-27,2015-05-26
500037,d011,2012-10-23,9999-01-01
500038,d015,2023-09-02,2024-04-06
500039,d014,1998-08-12,2008-02-21
500040,d011,2020-03-04,9999-01-01
500041,d017,2011-03-20,9999-01-01
500042,d018,2002-08-23,2012-02-22
500043,d014,2006-03-17,2013-08-10
500044,d013,1988-07-20,1991-02-22
500045,d018,2017-01-21,2024-06-01
500046,d018,2002-09-16,9999-01-01
500047,d018,1996-08-18,9999-01-01
500048,d018,2010-07-19,9999-01-01
500049,d012,2019-12-19,9999-01-01
500050,d012,2012-12-09,9999-01-01
500051,d013,2012-05-08,2021-01-18
500052,d018,2015-07-09,9999-01-01
500053,d017,2015-02-20,2017-09-22
500054,d019,1996-11-19,2002-04-17
500055,d018,2007-12-11,2017-01-17
500056,d011,1982-08-05,9999-01-01
500057,d015,2014-01-06,2018-07-30
500058,d012,2012-03-27,2020-12-22
500059,d017,2016-01-26,2022-05-10
500060,d016,2002-05-25,2006-05-21
500061,d016,1997-02-04,1999-09-12
500062,d014,2003-08-22,9999-01-01
500063,d019,1996-01-08,2002-10-01
500064,d013,2020-06-10,2022-06-14
500065,d015,2000-04-26,2006-08-23
500066,d014,2008-02-22,2009-07-07
500067,d012,1985-02-03,1992-01-17
500068,d010,2023-11-05,9999-01-01
500069,d015,2020-05-20,2022-08-15
500070,d019,2018-02-03,2023-06-16
500071,d019,2016-05-04,2023-03-01
500072,d018,1981-09-18,1987-12-27
500073,d018,2017-02-13,2021-10-16
500074,d012,2017-01-05,9999-01-01
500075,d016,2007-08-20,9999-01-01
500076,d011,1979-12-02,1985-08-08
500077,d019,2023-01-24,2023-12-17
500078,d019,2017-03-18,2023-06-02
500079,d018,1999-01-06,2001-12-15
500080,d014,1983-06-08,9999-01-01
500081,d018,2011-06-12,2015-04-29
500082,d015,2014-08-22,9999-01-01
500083,d018,2015-01-02,2022-10-20
500084,d013,2009-08-20,9999-01-01
500085,d013,2021-07-21,9999-01-01
500086,d012,2005-01-11,2007-05-23
500087,d010,2016-06-25,9999-01-01
500088,d019,2021-07-07,2023-05-13
500089,d013,1990-11-02,2000-03-12
500090,d013,2015-04-29,2020-04-01
500091,d011,2003-09-03,2009-01-25
500092,d017,2015-11-05,2019-09-19
500093,d010,1997-01-13,9999-01-01
500094,d019,2018-02-27,2020-12-04
500095,d011,2019-11-21,2024-02-28
500096,d013,1981-08-01,1986-05-10
500097,d017,2001-06-09,2004-11-16
500098,d010,2022-03-03,2023-07-07
500099,d010,2019-05-18,9999-01-01
