employeeId,dept_no,from_date,to_date
1050,d017,2020-10-30,2022-10-21
1051,d015,2019-10-17,2022-10-05
1052,d011,2022-10-12,2023-09-27
1053,d013,2022-05-09,2023-02-03
1054,d010,2021-12-24,2024-06-22
1055,d018,2016-05-22,2019-05-28
1056,d010,2017-11-16,2024-07-04
1057,d017,2018-06-16,2022-06-17
1058,d017,2016-09-03,2016-09-24
1059,d015,2023-10-30,2024-09-26
1060,d010,2018-11-27,2019-04-21
1061,d016,2016-07-06,2024-09-27
1062,d017,2022-08-19,2024-02-16
1063,d017,2015-11-01,2022-07-07
1064,d017,2016-08-07,2024-04-11
1065,d015,2023-07-25,2024-06-04
1066,d017,2024-09-06,2024-11-06
1067,d014,2015-10-16,2019-09-10
1068,d019,2023-11-22,2024-06-14
1069,d015,2024-06-03,2024-10-14
1070,d012,2020-11-04,2021-08-24
1071,d011,2019-01-11,2022-11-27
1072,d017,2016-06-24,2023-06-17
1073,d015,2017-11-03,2022-06-03
1074,d019,2015-12-07,2022-06-29
1075,d016,2019-08-01,2024-05-14
1076,d018,2017-02-23,2019-01-17
1077,d010,2018-03-31,2020-07-10
1078,d011,2017-11-20,2023-06-27
1079,d017,2023-11-17,2024-02-20
1080,d017,2023-01-17,2023-05-26
1081,d015,2018-11-27,2021-11-15
1082,d015,2016-06-28,2023-01-19
1083,d013,2021-05-31,2022-12-25
1084,d015,2016-10-12,2018-01-19
1085,d016,2021-10-24,2024-11-10
1086,d011,2015-09-16,2016-03-22
1087,d015,2023-03-14,2023-06-28
1088,d019,2018-06-19,2021-07-17
1089,d012,2024-02-11,2024-09-27
1090,d015,2021-03-26,2022-09-08
1091,d017,2020-02-19,2022-09-15
1092,d017,2022-01-01,2022-07-17
1093,d016,2020-10-09,2020-10-19
1094,d018,2019-08-06,2024-08-10
1095,d016,2015-04-01,2019-11-06
1096,d014,2017-11-22,2020-07-22
1097,d017,2018-03-09,2019-12-11
1098,d019,2016-11-10,2022-12-08
1099,d016,2015-08-17,2023-09-15
1100,d017,2016-09-15,2018-07-23
1101,d018,2023-05-04,2024-06-23
1102,d016,2016-10-06,2023-12-28
1103,d012,2017-08-29,2023-07-24
1104,d016,2021-11-08,2022-08-04
1105,d010,2018-12-12,2020-03-08
1106,d018,2019-06-13,2023-05-27
1107,d019,2022-07-10,2022-09-09
1108,d011,2022-04-10,2022-12-06
1109,d014,2022-11-29,2024-01-17
1110,d016,2021-09-29,2024-02-13
1111,d017,2018-12-22,2021-11-01
1112,d014,2016-09-24,2023-03-19
1113,d014,2022-11-23,2024-05-27
1114,d012,2015-11-26,2021-12-31
1115,d011,2015-11-15,2019-10-03
1116,d019,2023-01-15,2023-12-24
1117,d019,2015-01-15,2020-01-31
1118,d011,2023-11-25,2024-01-03
1119,d017,2019-05-31,2022-06-30
1120,d012,2024-07-10,2024-07-25
1121,d017,2017-10-30,2020-06-28
1122,d013,2021-05-25,2022-10-24
1123,d015,2024-06-17,2024-06-22
1124,d013,2022-12-03,2024-04-01
1125,d016,2020-07-29,2022-06-20
1126,d015,2022-05-25,2022-08-06
1127,d012,2017-03-03,2020-10-11
1128,d018,2016-05-28,2016-12-28
1129,d016,2015-04-30,2023-03-10
1130,d014,2015-06-05,2022-11-27
1131,d013,2018-01-10,2020-10-18
1132,d012,2019-11-15,2024-04-16
1133,d017,2021-07-14,2024-08-01
1134,d015,2018-09-13,2019-04-30
1135,d018,2019-03-03,2022-11-30
1136,d012,2019-01-04,2020-09-29
1137,d016,2016-12-13,2017-09-02
1138,d017,2019-12-01,2023-09-30
1139,d010,2023-03-31,2024-03-29
1140,d017,2021-12-13,2024-10-13
1141,d015,2018-09-30,2023-02-11
1142,d012,2024-03-08,2024-07-29
1143,d013,2017-05-18,2023-10-26
1144,d015,2016-04-12,2023-07-22
1145,d019,2023-05-08,2024-01-11
1146,d015,2020-08-30,2024-09-03
1147,d014,2019-10-20,2020-10-06
1148,d011,2018-02-10,2020-08-16
1149,d013,2016-09-01,2017-06-07
